election_id,data_source,num_voters,num_candidates,committee_size,hamming_pav_phrag,hamming_pav_mes,hamming_phrag_mes,pav_approval_score,phrag_approval_score,mes_approval_score,runtime_pav,runtime_phrag,runtime_mes,error,pav_winners_str,phrag_winners_str,mes_winners_str
syn_00076,urn_n100_m20_p0.40_a0.50_rep1,100,20,4,0,0,0,265,265,265,0.0088,0.0024,0.0026,,"[1, 2, 4, 15]","[1, 2, 4, 15]","[1, 2, 4, 15]"
syn_00077,urn_n100_m20_p0.40_a0.50_rep2,100,20,4,0,0,0,314,314,314,0.0085,0.0014,0.0031,,"[4, 6, 15, 18]","[4, 6, 15, 18]","[4, 6, 15, 18]"
syn_00078,urn_n100_m20_p0.40_a0.50_rep3,100,20,4,0,0,0,373,373,373,0.0094,0.0015,0.0032,,"[1, 11, 12, 19]","[1, 11, 12, 19]","[1, 11, 12, 19]"
syn_00079,urn_n100_m20_p0.40_a0.50_rep4,100,20,4,0,0,0,264,264,264,0.009,0.0015,0.0034,,"[6, 15, 16, 18]","[6, 15, 16, 18]","[6, 15, 16, 18]"
syn_00080,resampling_n50_m10_rs0.20_phi0.50_rep0,50,10,2,0,0,0,54,54,54,0.004,0.0003,0.0006,,"[1, 7]","[1, 7]","[1, 7]"
syn_00081,resampling_n50_m10_rs0.20_phi0.50_rep1,50,10,2,0,0,0,65,65,65,0.0041,0.0003,0.0006,,"[1, 3]","[1, 3]","[1, 3]"
syn_00082,resampling_n50_m10_rs0.20_phi0.50_rep2,50,10,2,2,2,0,40,41,41,0.0034,0.0003,0.0006,,"[2, 6]","[3, 6]","[3, 6]"
syn_00083,resampling_n50_m10_rs0.20_phi0.50_rep3,50,10,2,0,0,0,71,71,71,0.004,0.0003,0.0006,,"[3, 4]","[3, 4]","[3, 4]"
syn_00084,resampling_n50_m10_rs0.20_phi0.50_rep4,50,10,2,0,0,0,68,68,68,0.0044,0.0004,0.0007,,"[2, 5]","[2, 5]","[2, 5]"
syn_00085,resampling_n50_m10_rs0.40_phi0.50_rep0,50,10,2,0,0,0,75,75,75,0.0053,0.0004,0.0007,,"[2, 9]","[2, 9]","[2, 9]"
syn_00086,resampling_n50_m10_rs0.40_phi0.50_rep1,50,10,2,2,2,0,57,58,58,0.0041,0.0004,0.0006,,"[4, 9]","[4, 8]","[4, 8]"
syn_00087,resampling_n50_m10_rs0.40_phi0.50_rep2,50,10,2,0,0,0,71,71,71,0.0048,0.0003,0.0007,,"[0, 9]","[0, 9]","[0, 9]"
syn_00088,resampling_n50_m10_rs0.40_phi0.50_rep3,50,10,2,0,0,0,76,76,76,0.0047,0.0003,0.0007,,"[1, 9]","[1, 9]","[1, 9]"
